mechanism,kappa,cohort_replicate,unit_index,family,phi,lambda,neff_p,neff_var,threshold_calibration_max_error,theta_obs,theta_native_null_median,delta_theta,p_native,native_reject_005,delta_positive,native_null_valid_fraction,native_spectral_error_median,native_count_exact_fraction,native_group_count_exact_fraction,injection_monthly_multiset_exact,injection_monthly_event_count_exact,annual_count_mean,annual_count_sd,annual_count_ac1,monthly_indicator_ac1,monthly_indicator_ac12
history_feedback,1.0,19,6,gaussian,0.2,4.0,4.964583905619269,6.206923406679964,1.3877787807814457e-17,0.8378821774794929,0.8418146092478875,0.0039324317683946,0.4950099800399201,False,True,1.0,0.0054489408244853,1.0,1.0,True,True,2.896414342629482,1.8567275896760969,0.5013367881596721,0.5741877415766015,0.5819497344102824
history_feedback,1.0,19,7,tinnov,0.2,4.0,4.964583905619269,6.206923406679964,,0.51170124683421,0.6483306417797254,0.1366293949455154,0.2115768463073852,False,True,1.0,0.0096453843441233,1.0,1.0,True,True,3.0597609561752988,1.9291262866154304,0.5099257961928184,0.5845927842460831,0.578833837499501
history_feedback,1.0,20,0,periodic,0.5,4.0,4.964583905619269,6.206923406679964,1.3877787807814457e-17,0.9080994508846858,0.9122429599771122,0.0041435090924264,0.4910179640718562,False,True,1.0,0.0075431084274655,1.0,1.0,True,True,2.812749003984064,1.9230197070167288,0.4463317419330906,0.6207973304591926,0.5926596995670522
history_feedback,1.0,20,1,tinnov,0.8,4.0,4.964583905619269,6.206923406679964,,0.743262012012012,0.8694630491149794,0.1262010371029673,0.1836327345309381,False,True,1.0,0.0079631723369955,1.0,1.0,True,True,3.1115537848605577,1.9133380584704969,0.4624593835781353,0.6349067094457256,0.6348507405221441
history_feedback,1.0,20,2,periodic,0.2,4.0,4.964583905619269,6.206923406679964,2.775557561562892e-17,0.4407195081422399,0.7690948719178108,0.3283753637755708,0.0139720558882235,True,True,1.0,0.0054844780804806,1.0,1.0,True,True,2.952191235059761,1.7913318231084223,0.4638581103781211,0.5782213085511838,0.581234937445198
history_feedback,1.0,20,3,periodic,0.8,4.0,4.964583905619269,6.206923406679964,1.3877787807814457e-17,0.6175126590095097,0.8435954948655111,0.2260828358560014,0.0638722554890219,False,True,1.0,0.0084759928445163,1.0,1.0,True,True,3.135458167330677,2.05830784009212,0.4395873290143576,0.6555561854121436,0.6102406569645649
history_feedback,1.0,20,4,tinnov,0.5,4.0,4.964583905619269,6.206923406679964,,0.601015037593985,0.7254026677712545,0.1243876301772695,0.2095808383233532,False,True,1.0,0.0071786935741013,1.0,1.0,True,True,2.9721115537848606,1.972727176639529,0.4586223213493667,0.6063317201935768,0.5909279678938563
history_feedback,1.0,20,5,gaussian,0.2,4.0,4.964583905619269,6.206923406679964,1.3877787807814457e-17,0.7219966922267328,0.6995612736073864,-0.0224354186193463,0.5548902195608783,False,False,1.0,0.0084723361091646,1.0,1.0,True,True,3.043824701195219,1.858026550536192,0.5399321247734132,0.6002708102365115,0.6330691535266576
history_feedback,1.0,20,6,gaussian,0.8,4.0,4.964583905619269,6.206923406679964,1.3877787807814457e-17,0.507356199592307,0.702575485604924,0.1952192860126169,0.0379241516966067,True,True,1.0,0.0072853388956357,1.0,1.0,True,True,2.864541832669323,2.073734839487684,0.5242903357886017,0.656740619870758,0.6156148781610002
history_feedback,1.0,20,7,gaussian,0.5,4.0,4.964583905619269,6.206923406679964,1.3877787807814457e-17,0.7210722940226171,0.8273974132360209,0.1063251192134038,0.2774451097804391,False,True,1.0,0.0063139512933784,1.0,1.0,True,True,3.0597609561752988,1.8532877920250823,0.5923892399375043,0.6169653491463418,0.672163093971888
history_feedback,1.0,21,0,gaussian,0.8,4.0,4.964583905619269,6.206923406679964,1.3877787807814457e-17,0.8590584028605482,0.8330089724134269,-0.0260494304471213,0.5788423153692615,False,False,1.0,0.0058066711558591,1.0,1.0,True,True,3.0199203187251,2.1151138897372075,0.4946235792415966,0.6505267279430132,0.6022883455618332
history_feedback,1.0,21,1,periodic,0.8,4.0,4.964583905619269,6.206923406679964,1.3877787807814457e-17,0.8841615173360796,0.825987567058662,-0.0581739502774175,0.6746506986027944,False,False,1.0,0.0068931390260114,1.0,1.0,True,True,2.737051792828685,1.990660882798864,0.4839553364852629,0.6450753834398703,0.6239936091306659
history_feedback,1.0,21,2,periodic,0.5,4.0,4.964583905619269,6.206923406679964,1.3877787807814457e-17,0.7510788262370541,0.7206201372235546,-0.0304586890134995,0.5748502994011976,False,False,1.0,0.0074233720886275,1.0,1.0,True,True,2.9760956175298805,1.916438194517916,0.4896117949600063,0.6222912450505939,0.596968182417916
history_feedback,1.0,21,3,tinnov,0.5,4.0,4.964583905619269,6.206923406679964,,0.7713592925402938,0.9771871983018052,0.2058279057615114,0.0978043912175648,False,True,1.0,0.0075326869921661,1.0,1.0,True,True,3.0199203187251,2.0828462735469904,0.3718431444577096,0.6230848188914276,0.5543730690654849
history_feedback,1.0,21,4,tinnov,0.8,4.0,4.964583905619269,6.206923406679964,,0.6303580433686334,0.8639088361441465,0.233550792775513,0.0518962075848303,False,True,1.0,0.0086300063163163,1.0,1.0,True,True,3.1553784860557768,2.0442712092741093,0.4833717860194322,0.6469995915816172,0.6271585771204704
history_feedback,1.0,21,5,periodic,0.2,4.0,4.964583905619269,6.206923406679964,2.775557561562892e-17,0.8235682238057535,0.8890553150825958,0.0654870912768423,0.3672654690618762,False,True,1.0,0.0059186436647058,1.0,1.0,True,True,3.0278884462151394,1.8497386278984975,0.5100975220401204,0.5739981906540321,0.6142218784451441
history_feedback,1.0,21,6,gaussian,0.5,4.0,4.964583905619269,6.206923406679964,1.3877787807814457e-17,0.7259976293954958,0.8908066563728818,0.1648090269773859,0.1437125748502994,False,True,1.0,0.0068895144127683,1.0,1.0,True,True,3.0,1.9228133438736288,0.4775236549409384,0.6196753394258158,0.6051295778420075
history_feedback,1.0,21,7,tinnov,0.2,4.0,4.964583905619269,6.206923406679964,,1.0,0.9573068640227772,-0.0426931359772229,1.0,False,False,1.0,0.0093143949630855,1.0,1.0,True,True,2.9681274900398407,1.9038072778190984,0.4469319626960577,0.5843086325439266,0.5705900492634796
history_feedback,1.0,22,0,tinnov,0.5,4.0,4.964583905619269,6.206923406679964,,0.5814766839378238,0.8227490799441655,0.2412723960063416,0.0558882235528942,False,True,1.0,0.0082678753679387,1.0,1.0,True,True,3.039840637450199,1.9182511889755127,0.4650195548435771,0.6125662556977,0.6019190484838879
history_feedback,1.0,22,1,periodic,0.5,4.0,4.964583905619269,6.206923406679964,1.3877787807814457e-17,0.5301775956284153,0.7936408802517765,0.2634632846233612,0.0259481037924151,True,True,1.0,0.0061888341049969,1.0,1.0,True,True,3.0677290836653386,1.8743908498705504,0.4749638258013889,0.6152242825515525,0.6228173042176554
