mechanism,kappa,cohort_replicate,n_units,positive_units,sign_gate_6of8,aggregate_stat_mean_delta,aggregate_p,aggregate_reject_005,full_gate_pass,mean_delta_theta,median_delta_theta,mean_theta_obs,mean_theta_null_center,unit_native_reject_fraction,unit_positive_fraction,native_null_valid_fraction_min,native_spectral_error_median,native_count_exact_fraction_min,native_group_count_exact_fraction_min,injection_multiset_exact_all,injection_event_count_exact_all
persistent_regime_alignment,0.6,15,8,7,True,0.1146146318782289,0.0039920159680638,True,True,0.1146146318782289,0.1105025123833815,0.402332958149764,0.516947590027993,0.25,0.875,1.0,0.0119010537133961,1.0,1.0,True,True
persistent_regime_alignment,0.6,16,8,3,False,-0.002173220000692,0.4351297405189621,False,False,-0.002173220000692,-0.0108469659255253,0.5676098970719141,0.565436677071222,0.0,0.375,1.0,0.0105793509535397,1.0,1.0,True,True
persistent_regime_alignment,0.6,17,8,4,False,0.0514541238170034,0.1137724550898203,False,False,0.0514541238170034,0.018216688193163,0.5360552984766851,0.5875094222936885,0.25,0.5,1.0,0.0142206353532934,1.0,1.0,True,True
persistent_regime_alignment,0.6,18,8,4,False,0.0025848603131895,0.4550898203592814,False,False,0.0025848603131895,0.0075917654917126,0.4966020980190827,0.4991869583322723,0.125,0.5,1.0,0.0098341110381439,1.0,1.0,True,True
persistent_regime_alignment,0.6,19,8,4,False,0.0250867833577864,0.2674650698602794,False,False,0.0250867833577864,0.0088150215721149,0.5580756813380098,0.5831624646957962,0.125,0.5,1.0,0.0136927105591064,1.0,1.0,True,True
persistent_regime_alignment,0.6,20,8,6,True,0.0380615265963267,0.1297405189620758,False,False,0.0380615265963267,0.0325241086242956,0.5176692570174404,0.5557307836137672,0.125,0.75,1.0,0.0124269582435686,1.0,1.0,True,True
persistent_regime_alignment,0.6,21,8,4,False,-0.0195616809563678,0.5828343313373253,False,False,-0.0195616809563678,-0.0064447981771785,0.5182047274036314,0.4986430464472636,0.0,0.5,1.0,0.0121346119284212,1.0,1.0,True,True
persistent_regime_alignment,0.6,22,8,4,False,0.0339913577975814,0.1696606786427145,False,False,0.0339913577975814,0.0382460207449351,0.526251125434521,0.5602424832321025,0.125,0.5,1.0,0.01118977397228,1.0,1.0,True,True
persistent_regime_alignment,0.6,23,8,5,False,0.0010898788895571,0.4451097804391217,False,False,0.0010898788895571,0.0305936696293513,0.5861952823848651,0.5872851612744223,0.0,0.625,1.0,0.0115847441898347,1.0,1.0,True,True
persistent_regime_alignment,0.6,24,8,3,False,0.0034185090801655,0.3672654690618762,False,False,0.0034185090801655,-0.0352776476384025,0.52068088598621,0.5240993950663755,0.25,0.375,1.0,0.0104690947182083,1.0,1.0,True,True
