statistic,obs_stat,p_oracle,p_native,p_index,rej_oracle,rej_native,rej_index,null_mean_oracle,null_sd_oracle,null_mean_native,null_sd_native,null_mean_index,null_sd_index,wasserstein_native_oracle,wasserstein_index_oracle,wasserstein_native_oracle_scaled,wasserstein_index_oracle_scaled,phi,rep,condition,condition_type,lambda_value,tau,native_spectral_error_median,index_spectral_error_median
ferro_segers,1.0,1.0,1.0,1.0,False,False,False,0.9394576613002257,0.1085488837819843,0.9421521525127529,0.10099461572076361,0.9822565570327705,0.05492164219620755,0.0052446463581885035,0.04279889573254484,0.048315986083487944,0.39428222789010486,0.2,1,count_lam0_cubic,hard,0.0,0.0,0.0002181838979254009,0.002183052138057441
ntv,1.164070900397494,0.796,0.788,0.884,False,False,False,1.1277829690364736,0.041899531799243675,1.1422581663944928,0.02787868452732975,1.1410198487333132,0.017864705185288026,0.017216970655448288,0.022263001106700993,0.4109108125107753,0.5313424792756959,0.2,1,soft_lam4_tau2_cubic,soft,4.0,2.0,0.0002181838979254009,0.00018214112334523713
ferro_segers,1.0,1.0,1.0,1.0,False,False,False,0.9670966730282601,0.07338456342759446,0.9807942570786496,0.05317816945653011,0.9806423357185176,0.06347434278923762,0.013697584050389655,0.014858677473899618,0.18665484143548117,0.2024768804213173,0.2,1,soft_lam4_tau2_cubic,soft,4.0,2.0,0.0002181838979254009,0.00018214112334523713
ntv,1.1533851206780419,0.668,0.592,0.856,False,False,False,1.1329097669447816,0.042620154476292776,1.1446395045335314,0.030306753117856088,1.1340679192904255,0.01779985928413835,0.014532285483972087,0.020633813044010893,0.3409721448113378,0.4841327606048058,0.2,1,soft_lam4_tau1_cubic,soft,4.0,1.0,0.0002181838979254009,0.00020820834888897227
ferro_segers,1.0,1.0,1.0,1.0,False,False,False,0.9609008299795022,0.08419954105308687,0.9824549003445421,0.051869352707604226,0.9746272400589518,0.06437064616346132,0.02155407036503991,0.013726410079449585,0.25598797921535354,0.16302238596283128,0.2,1,soft_lam4_tau1_cubic,soft,4.0,1.0,0.0002181838979254009,0.00020820834888897227
ntv,1.1300516214182459,0.416,0.344,0.76,False,False,False,1.1382311352570522,0.042728427119368625,1.145652734106912,0.03306730963825737,1.1169073028910297,0.017454685633287923,0.009910557323465031,0.026635235642264807,0.23194294739140106,0.6233610136842871,0.2,1,soft_lam4_tau0.5_cubic,soft,4.0,0.5,0.0002181838979254009,0.0002125169703999965
ferro_segers,0.9713683351468988,0.248,0.16,0.196,False,False,False,0.9612541817143794,0.08106471437642199,0.9786580020957297,0.06159725407459422,0.979919010701346,0.04846737987572821,0.0186825209544381,0.0186648289869666,0.23046427904114086,0.23024603405492716,0.2,1,soft_lam4_tau0.5_cubic,soft,4.0,0.5,0.0002181838979254009,0.0002125169703999965
ntv,1.127859554415933,0.384,0.3,0.632,False,False,False,1.1410834112437243,0.04217298332944329,1.1457871743852455,0.0349612924868702,1.1219367297980132,0.017944863728847286,0.0070127919650471975,0.024907821708906364,0.1662863618223371,0.5906108542128401,0.2,1,soft_lam4_tau0.25_cubic,soft,4.0,0.25,0.0002181838979254009,0.000207111717124674
ferro_segers,1.0,1.0,1.0,1.0,False,False,False,0.9544172279142455,0.09331526656236733,0.9734602271607317,0.06641766198254778,0.9683469959947272,0.06988348986840268,0.019042999246486034,0.013929768080481644,0.2040716374502197,0.14927641096295508,0.2,1,soft_lam4_tau0.25_cubic,soft,4.0,0.25,0.0002181838979254009,0.000207111717124674
ntv,1.1450004666438318,0.556,0.496,0.692,False,False,False,1.1397290042489836,0.04203251802627929,1.1443437173698994,0.03626420935389602,1.1360241807452527,0.017133987698907872,0.006023818658017799,0.02017174401319987,0.1433132950600682,0.47990805596248665,0.2,1,soft_lam4_tau0.1_cubic,soft,4.0,0.1,0.0002181838979254009,0.00024036770304904626
