family,phi,lambda,replicate,theta_obs_independent,theta_obs_raw_independent,p_annual_independent,p_native_independent,annual_reject_independent,native_reject_independent,annual_only_independent,native_only_independent,annual_spectral_error_median,native_spectral_error_median,native_month_exact_fraction,theta_obs,theta_abs_diff
gaussian,0.5,0.5,77,0.9182745619871369,0.9182745619871369,0.1,0.22,False,False,False,False,0.008830791599520266,0.0001979069946371202,1.0,0.9182745619871368,1.1102230246251565e-16
gaussian,0.5,0.5,51,1.0,1.0856176900584795,1.0,1.0,False,False,False,False,0.000958988404522219,0.00020321533653179277,1.0,1.0,0.0
gaussian,0.5,0.5,84,1.0,1.0468719163212947,1.0,1.0,False,False,False,False,0.0005397918055157022,0.00019591360445099106,1.0,1.0,0.0
gaussian,0.5,0.5,111,1.0,1.3071563402176327,1.0,1.0,False,False,False,False,0.0005958558107207715,0.00021830989284418295,1.0,1.0,0.0
gaussian,0.5,0.5,147,0.8990934759994056,0.8990934759994056,0.07,0.14,False,False,False,False,0.0016662816575522342,0.00021582407139836773,1.0,0.8990934759994056,0.0
gaussian,0.5,0.5,174,0.927563788027478,0.927563788027478,0.1,0.17,False,False,False,False,0.001083138381865587,0.00021305104946822836,1.0,0.927563788027478,0.0
gaussian,0.5,0.5,197,1.0,1.0646002317497103,1.0,1.0,False,False,False,False,0.0011367263672613795,0.00021012520942326242,1.0,1.0,0.0
gaussian,0.5,0.5,209,1.0,1.1360680818512143,1.0,1.0,False,False,False,False,0.0033139021883589145,0.00019762882940789774,1.0,1.0,0.0
gaussian,0.5,0.5,295,1.0,1.0631084501557633,1.0,1.0,False,False,False,False,0.0004170449767722987,0.00021033402436992075,1.0,1.0,0.0
gaussian,0.5,1.0,4,0.8842637151106834,0.8842637151106834,0.19,0.15,False,False,False,False,0.0008406562295312573,0.00018787987568757585,1.0,0.8842637151106834,0.0
gaussian,0.5,1.0,83,1.0,1.0716536614645857,1.0,1.0,False,False,False,False,0.0005347107764499561,0.000203449154447509,1.0,1.0,0.0
gaussian,0.5,1.0,120,0.9789557805007991,0.9789557805007991,0.17,0.29,False,False,False,False,0.000327639608597362,0.00019908460042407082,1.0,0.9789557805007992,1.1102230246251565e-16
gaussian,0.5,1.0,129,1.0,1.1491053677932406,1.0,1.0,False,False,False,False,0.00038325705941672086,0.00020407171756119528,1.0,1.0,0.0
gaussian,0.5,1.0,182,0.9362354252400549,0.9362354252400549,0.18,0.24,False,False,False,False,0.0013439505636897605,0.0002110536266698637,1.0,0.9362354252400548,1.1102230246251565e-16
gaussian,0.5,1.0,231,1.0,1.0073421439060206,1.0,1.0,False,False,False,False,0.0002212554584624362,0.00021006835070877584,1.0,1.0,0.0
gaussian,0.5,1.0,249,1.0,1.135137814792782,1.0,1.0,False,False,False,False,0.00022262057061943078,0.00020559167627555333,1.0,1.0,0.0
gaussian,0.5,1.0,254,0.8510966780238501,0.8510966780238501,0.05,0.11,False,False,False,False,0.000738615790378239,0.00020630471581158983,1.0,0.8510966780238501,0.0
gaussian,0.5,1.0,256,0.8620842572062084,0.8620842572062084,0.11,0.22,False,False,False,False,0.0027447443686965676,0.0002138282054314213,1.0,0.8620842572062084,0.0
gaussian,0.5,1.0,280,0.9025499843798813,0.9025499843798813,0.15,0.25,False,False,False,False,0.00032990529649944497,0.00020618588741218996,1.0,0.9025499843798812,1.1102230246251565e-16
gaussian,0.5,2.0,2,1.0,1.166361043194784,1.0,1.0,False,False,False,False,0.0068579290632371954,0.0002084635332844467,1.0,1.0,0.0
gaussian,0.5,2.0,28,1.0,1.0325994196961938,1.0,1.0,False,False,False,False,0.009359111993695733,0.00020728580130684017,1.0,1.0,0.0
gaussian,0.5,2.0,25,0.8885615829257448,0.8885615829257448,0.08,0.12,False,False,False,False,0.0015269406263965103,0.0002040678224746808,1.0,0.8885615829257448,0.0
gaussian,0.5,2.0,74,0.9376824660827752,0.9376824660827752,0.13,0.38,False,False,False,False,0.0030398016025089186,0.0001966688440453005,1.0,0.9376824660827752,0.0
gaussian,0.5,2.0,109,0.955703012912482,0.955703012912482,0.25,0.24,False,False,False,False,0.0009974948722779947,0.00020020167502080247,1.0,0.955703012912482,0.0
gaussian,0.5,2.0,118,1.0,1.407306338028169,1.0,1.0,False,False,False,False,0.001604850252535919,0.0002025872806143226,1.0,1.0,0.0
gaussian,0.5,2.0,122,1.0,1.038265805441378,1.0,1.0,False,False,False,False,0.0012861812430741463,0.00020128639522009074,1.0,1.0,0.0
gaussian,0.5,2.0,158,1.0,1.0807431225437656,1.0,1.0,False,False,False,False,0.000637914711296567,0.00020561480911796592,1.0,1.0,0.0
gaussian,0.5,2.0,182,0.868871975019516,0.868871975019516,0.32,0.19,False,False,False,False,0.0025611466926176553,0.00020986382429731527,1.0,0.868871975019516,0.0
gaussian,0.5,2.0,233,1.0,1.2299196787148594,1.0,1.0,False,False,False,False,0.001440489093782826,0.00020924932302717259,1.0,1.0,0.0
gaussian,0.5,4.0,2,0.9442854872039421,0.9442854872039421,0.11,0.5,False,False,False,False,0.004017378890236735,0.0002017631062679925,1.0,0.944285487203942,1.1102230246251565e-16
gaussian,0.5,4.0,3,0.6860315366252042,0.6860315366252042,0.03,0.16,True,False,True,False,0.006161842224073483,0.0002055845010596487,1.0,0.6860315366252042,0.0
gaussian,0.5,4.0,5,1.0,1.1839250493096647,1.0,1.0,False,False,False,False,0.0025581193786178976,0.00020230532807850328,1.0,1.0,0.0
gaussian,0.5,4.0,66,0.6439982000224997,0.6439982000224997,0.03,0.09,True,False,True,False,0.014550044197018741,0.00021086218609847092,1.0,0.6439982000224997,0.0
gaussian,0.5,4.0,92,1.0,1.0160355090311988,1.0,1.0,False,False,False,False,0.0036455269661937006,0.00021150183138298658,1.0,1.0,0.0
gaussian,0.5,4.0,128,1.0,1.1491053677932406,1.0,1.0,False,False,False,False,0.0018048807364820759,0.00021220307661979552,1.0,1.0,0.0
gaussian,0.5,4.0,145,0.7260034904013961,0.7260034904013961,0.01,0.18,True,False,True,False,0.0019410601721708406,0.00021374053313533175,1.0,0.7260034904013961,0.0
gaussian,0.5,4.0,190,0.5769151776545491,0.5769151776545491,0.01,0.04,True,True,False,False,0.01349847228969949,0.0002044163127812484,1.0,0.5769151776545491,0.0
