family,phi,lambda,observable,block_years,n,annual_rejection_rate,native_rejection_rate,mechanistic_misattribution_rate,native_only_rate,median_null_gap,annual_valid_fraction,native_valid_fraction,annual_spectral_error_median,native_spectral_error_median,exact_total,exact_group
gaussian,0.8,0.0,maxrun,50,300,0.06333333333333334,0.06333333333333334,0.013333333333333334,0.013333333333333334,0.0,1.0,1.0,0.00144191827282445,0.005698182049242001,1.0,1.0
gaussian,0.8,0.0,maxrun,252,300,0.06333333333333334,0.05,0.02,0.006666666666666667,0.0,1.0,1.0,0.00144191827282445,0.00024852497491035,1.0,1.0
gaussian,0.8,0.5,count,50,300,0.07,0.043333333333333335,0.02666666666666667,0.0,0.0,1.0,1.0,0.00087200393130385,0.0056678224277430505,1.0,1.0
gaussian,0.8,0.5,count,252,300,0.07,0.05,0.02666666666666667,0.006666666666666667,0.0,1.0,1.0,0.00087200393130385,0.00024722074746865,1.0,1.0
gaussian,0.8,0.5,maxrun,50,300,0.09,0.06333333333333334,0.04,0.013333333333333334,0.0,1.0,1.0,0.00135071521049695,0.0056678224277430505,1.0,1.0
gaussian,0.8,0.5,maxrun,252,300,0.09,0.04,0.056666666666666664,0.006666666666666667,0.0,1.0,1.0,0.00135071521049695,0.00024722074746865,1.0,1.0
gaussian,0.8,1.0,count,50,300,0.06666666666666667,0.06,0.02,0.013333333333333334,0.0,1.0,1.0,0.0007516661568905999,0.005729275009784551,1.0,1.0
gaussian,0.8,1.0,count,252,300,0.06666666666666667,0.04,0.03,0.0033333333333333335,0.0,1.0,1.0,0.0007516661568905999,0.00024799031823685,1.0,1.0
gaussian,0.8,1.0,maxrun,50,300,0.09,0.06333333333333334,0.03666666666666667,0.01,0.0,1.0,1.0,0.00100203916952135,0.005729275009784551,1.0,1.0
gaussian,0.8,1.0,maxrun,252,300,0.09,0.05,0.043333333333333335,0.0033333333333333335,0.0,1.0,1.0,0.00100203916952135,0.00024799031823685,1.0,1.0
gaussian,0.8,2.0,count,50,300,0.12333333333333334,0.06,0.06666666666666667,0.0033333333333333335,0.0,1.0,1.0,0.00076494488815645,0.005713544915491749,1.0,1.0
gaussian,0.8,2.0,count,252,300,0.12333333333333334,0.056666666666666664,0.06666666666666667,0.0,0.0,1.0,1.0,0.00076494488815645,0.0002485702163173,1.0,1.0
gaussian,0.8,2.0,maxrun,50,300,0.10333333333333333,0.07333333333333333,0.03333333333333333,0.0033333333333333335,0.0,1.0,1.0,0.00092450434131795,0.005713544915491749,1.0,1.0
gaussian,0.8,2.0,maxrun,252,300,0.10333333333333333,0.06666666666666667,0.03666666666666667,0.0,0.0,1.0,1.0,0.00092450434131795,0.0002485702163173,1.0,1.0
gaussian,0.8,4.0,count,50,300,0.23666666666666666,0.04,0.2,0.0033333333333333335,0.04652871039126455,1.0,1.0,0.0015868657327201001,0.0056785135588064,1.0,1.0
gaussian,0.8,4.0,count,252,300,0.23666666666666666,0.04666666666666667,0.19,0.0,0.06172913536182105,1.0,1.0,0.0015868657327201001,0.00024823801175945,1.0,1.0
gaussian,0.8,4.0,maxrun,50,300,0.21333333333333335,0.03666666666666667,0.17666666666666667,0.0,0.05663107062900345,1.0,1.0,0.0016158628247768501,0.0056785135588064,1.0,1.0
gaussian,0.8,4.0,maxrun,252,300,0.21333333333333335,0.04,0.17333333333333334,0.0,0.0621756079321389,1.0,1.0,0.0016158628247768501,0.00024823801175945,1.0,1.0
periodic,0.2,0.0,count,50,300,0.11666666666666667,0.06,0.056666666666666664,0.0,0.0,1.0,1.0,0.0022471962004282,0.0049392581621187,1.0,1.0
periodic,0.2,0.0,count,252,300,0.11666666666666667,0.056666666666666664,0.06,0.0,0.0,1.0,1.0,0.0022471962004282,0.00022418624186865,1.0,1.0
